,City,Country,Lat,Lon,Date,Cloudiness,Humidity,Max Temp,Wind Speed
375,Dinguiraye,GN,11.29,-10.71,1559612083,100,85,76.19,5.14
376,Brigantine,US,39.41,-74.36,1559612083,1,42,64.4,5.82
377,Nautla,MX,20.22,-96.78,1559612084,100,86,79.43,10.16
378,Hvide Sande,DK,56.01,8.13,1559612084,61,100,48.2,1.12
379,Sistranda,NO,63.73,8.83,1559612084,75,87,54.0,3.36
380,Lebu,ET,8.96,38.73,1559612084,76,76,55.13,1.79
381,Sheopur,IN,25.67,76.7,1559612084,25,13,104.45,11.61
382,Havoysund,NO,71.0,24.66,1559612084,0,73,44.6,17.22
383,Marsh Harbour,BS,26.54,-77.06,1559612085,83,82,80.51,7.45
384,Bijie,CN,27.3,105.3,1559612085,100,56,78.71,10.54
385,Srinivaspur,IN,13.34,78.21,1559612085,20,100,71.6,12.75
386,Mount Gambier,AU,-37.83,140.78,1559612085,90,66,51.8,17.22
387,Bathsheba,BB,13.22,-59.52,1559611866,40,78,82.4,19.46
388,Imeni Poliny Osipenko,RU,52.42,136.49,1559612085,35,43,71.51,5.06
389,Aleksandrovskiy Zavod,RU,50.92,117.94,1559612085,26,45,67.73,18.97
390,Marawi,PH,8.0,124.29,1559612086,100,78,82.99,5.99
391,Rocha,UY,-34.48,-54.34,1559611517,0,89,47.78,3.42
392,Okato,NZ,-39.19,173.88,1559612086,95,72,60.01,8.01
393,Ancud,CL,-41.87,-73.83,1559612086,90,100,53.6,16.11
394,Berlevag,NO,70.86,29.09,1559611662,0,77,39.86,10.2
395,Monrovia,LR,6.33,-10.8,1559612086,89,82,79.79,6.93
396,Omsukchan,RU,62.53,155.8,1559612086,94,71,49.73,2.46
397,Noumea,NC,-22.28,166.46,1559612087,0,53,77.0,1.12
398,Erdenet,MN,49.03,104.04,1559611991,0,46,49.55,5.53
399,Hobyo,SO,5.35,48.53,1559612087,100,70,80.15,19.53
400,Bara,NG,10.41,10.6,1559612087,36,52,83.57,9.66
401,Adrar,DZ,27.87,-0.29,1559612087,0,18,80.6,9.17
402,Puerto Escondido,MX,15.86,-97.07,1559611821,75,83,80.6,3.36
403,Onega,RU,63.91,38.09,1559612087,100,92,44.33,7.02
404,Kondoa,TZ,-4.91,35.78,1559612088,1,97,56.21,4.07
405,Cururupu,BR,-1.82,-44.87,1559612088,47,98,73.13,0.29
406,Belaya Gora,RU,68.54,146.19,1559612088,48,31,49.91,12.28
407,Synya,RU,65.37,58.04,1559612088,100,76,44.87,9.8
408,Verkhoyansk,RU,67.55,133.39,1559612088,57,32,64.85,9.89
409,Mackay,CA,53.65,-115.58,1559612089,20,47,60.8,16.11
410,Zaraza,VE,9.35,-65.33,1559612089,91,81,79.07,4.97
411,Nishihara,JP,35.74,139.53,1559611646,75,65,81.0,4.7
412,Seoul,KR,37.57,126.98,1559611686,1,47,78.8,3.36
413,Touros,BR,-5.2,-35.46,1559611839,20,88,77.0,5.82
414,Ondjiva,AO,-17.07,15.73,1559612089,0,30,54.95,6.35
415,Naze,NG,5.43,7.07,1559612089,100,98,73.85,3.65
416,Road Town,VG,18.42,-64.62,1559612089,40,78,82.4,4.7
417,Saint-Vallier,FR,46.64,4.37,1559612090,0,100,61.0,2.24
418,Luena,AO,-11.78,19.91,1559612090,0,52,47.57,2.86
419,Dongsheng,CN,29.72,112.52,1559612090,0,44,92.39,12.41
420,Atar,MR,20.52,-13.05,1559611592,100,11,101.78,15.64
421,Bereda,ES,43.27,-7.54,1559612090,40,87,59.0,10.29
422,Lae,PG,-6.72,146.98,1559612090,54,45,90.05,5.99
423,Taoudenni,ML,22.68,-3.98,1559612091,78,8,89.87,10.58
424,Ormara,PK,25.21,64.64,1559611586,0,57,86.84,12.73
425,Dicabisagan,PH,17.08,122.42,1559612091,5,49,95.09,3.18
426,Miraflores,CO,5.2,-73.14,1559612091,100,99,54.77,1.66
427,Vardo,US,39.62,-77.74,1559612092,1,41,62.6,5.82
428,Cayenne,GF,4.94,-52.33,1559611526,0,100,75.2,4.52
429,Neyshabur,IR,36.21,58.79,1559612092,0,43,62.15,5.19
430,Port Keats,AU,-14.25,129.55,1559612092,99,31,75.47,18.45
431,Aksarka,RU,66.56,67.8,1559612092,100,84,48.11,12.97
432,Krabi,TH,8.06,98.92,1559612092,20,83,84.2,0.38
433,Riberalta,BO,-11.0,-66.08,1559612093,0,87,73.31,3.22
434,Piat,PH,17.79,121.48,1559612093,10,42,92.21,1.07
435,Kangaatsiaq,GL,68.31,-53.46,1559611545,13,76,37.34,5.35
436,Tarauaca,BR,-8.16,-70.77,1559612093,100,98,73.31,2.42
437,Bheramara,BD,24.02,89.0,1559612093,0,54,90.77,5.68
438,Chegdomyn,RU,51.13,133.04,1559612093,0,30,76.91,2.77
439,Taicheng,CN,22.25,112.8,1559612093,100,81,84.99,4.0
440,Kendari,ID,-3.99,122.52,1559612094,100,95,77.27,2.68
441,Hermosillo,MX,29.09,-110.96,1559611997,0,37,89.01,11.01
442,Jalu,LY,29.03,21.55,1559612094,0,44,74.75,15.35
443,Minsk,BY,53.9,27.56,1559612094,0,93,48.2,2.24
444,Yumen,CN,40.29,97.04,1559612094,93,16,73.85,14.52
445,Chernenko,UA,47.23,37.74,1559612094,1,92,66.11,6.96
446,Hauterive,FR,46.09,3.45,1559612095,0,87,59.0,2.24
447,Codrington,AU,-28.95,153.24,1559612095,0,36,60.8,18.34
448,Orthez,FR,43.49,-0.77,1559612095,90,93,63.0,6.93
449,Mildura,AU,-34.18,142.16,1559612095,25,62,52.0,13.87
450,Skelleftea,SE,64.75,20.95,1559612095,84,100,48.0,3.36
451,Coihaique,CL,-45.58,-72.07,1559612096,75,93,41.0,1.12
452,Duobao,CN,30.67,112.69,1559612096,0,38,94.01,11.54
453,Lingyuan,CN,41.24,119.4,1559612096,100,53,70.61,9.4
454,Lorengau,PG,-2.02,147.27,1559611627,100,79,82.52,7.99
455,Iqaluit,CA,63.75,-68.52,1559611694,40,41,33.8,5.82
456,Saint-Cesaire,CA,45.42,-73.0,1559612096,90,76,52.0,13.87
457,Rantoul,US,40.31,-88.16,1559611862,1,46,75.0,5.37
458,Diego de Almagro,CL,-26.39,-70.05,1559612097,0,37,57.83,1.34
459,Luau,CD,-10.7,22.23,1559612097,24,51,53.69,4.63
460,Srednekolymsk,RU,67.46,153.71,1559612097,99,37,48.47,18.07
461,Koulikoro,ML,12.86,-7.56,1559612097,20,74,78.8,8.05
462,Mount Isa,AU,-20.73,139.49,1559612097,22,33,57.2,14.99
463,Puerto Madero,AR,-34.61,-58.36,1559612097,0,87,59.0,4.7
464,Leshukonskoye,RU,64.9,45.76,1559612098,1,56,44.15,2.08
465,Gloversville,US,43.05,-74.34,1559611886,1,65,55.4,6.93
466,Alice Springs,AU,-23.7,133.88,1559612098,40,54,53.6,17.22
467,Izhma,RU,65.01,53.91,1559612098,85,69,43.79,10.49
468,Jawar,YE,14.37,44.54,1559612098,40,41,60.89,2.28
469,Mecca,SA,21.43,39.83,1559611842,0,18,95.09,4.27
470,Bontang,ID,0.12,117.47,1559612099,100,99,74.75,1.5
471,Port Lincoln,AU,-34.72,135.86,1559612099,100,64,56.57,14.74
472,Kenai,US,60.55,-151.26,1559612094,1,54,66.0,8.05
473,Calca,PE,-13.32,-71.96,1559612099,40,58,53.6,5.82
474,Kupang,ID,-10.16,123.6,1559612099,75,62,84.2,18.34
475,Fort Nelson,CA,58.81,-122.69,1559612099,75,76,50.0,6.93
476,Turukhansk,RU,65.8,87.96,1559612100,0,50,53.69,9.01
477,Manbij,SY,36.53,37.96,1559612100,0,31,73.4,6.93
478,Nicoya,CR,10.15,-85.45,1559612100,75,83,82.4,2.24
479,Najran,SA,17.54,44.22,1559611566,0,29,77.0,8.05
480,Asyut,EG,27.18,31.19,1559612100,0,34,80.6,14.99
481,Roald,NO,62.58,6.12,1559612100,100,71,55.4,10.29
482,Haverfordwest,GB,51.8,-4.97,1559612100,98,87,57.0,17.22
483,Anadyr,RU,64.73,177.51,1559612101,75,75,44.6,11.18
484,Mesaria,GR,36.4,25.45,1559612101,20,77,66.2,9.17
485,Upata,VE,8.02,-62.41,1559612101,80,93,73.49,5.84
486,Port Hedland,AU,-20.31,118.58,1559612101,0,21,69.8,21.92
487,Rawson,AR,-43.3,-65.11,1559611624,100,43,53.9,9.84
488,Tilichiki,RU,60.47,166.1,1559611649,100,78,47.42,4.97
489,College,US,64.86,-147.8,1559612101,20,24,69.8,11.41
490,Shitkino,RU,56.37,98.35,1559612102,0,38,61.61,5.06
491,Tuatapere,NZ,-46.13,167.69,1559612102,87,68,49.01,23.02
492,Anori,BR,-3.74,-61.66,1559612102,100,95,75.11,2.26
493,Kosum Phisai,TH,16.25,103.07,1559612102,75,83,84.2,4.7
494,Aykhal,RU,65.95,111.51,1559612102,75,66,55.4,4.47
495,Hofn,IS,64.25,-15.21,1559612102,97,81,25.43,25.12
496,Hasaki,JP,35.73,140.83,1559612103,75,65,81.0,6.93
497,Rome,IT,41.89,12.48,1559612103,0,82,64.0,4.7
498,Emba,CY,34.81,32.42,1559612103,55,72,75.2,4.7
499,Muros,ES,42.77,-9.06,1559612103,40,87,64.0,9.17
500,Jasper,US,33.83,-87.28,1559612052,63,88,82.99,5.77
501,Brokopondo,SR,5.06,-54.98,1559612104,40,100,75.2,1.12
502,Auki,NG,12.18,6.51,1559612104,77,50,85.19,12.3
503,Mareeba,AU,-16.99,145.42,1559612104,99,27,78.01,16.11
504,Chumphon,TH,10.5,99.18,1559612104,0,83,84.2,3.36
505,Sandy Bay,AU,-42.9,147.33,1559612104,75,53,53.01,10.29
506,Sharjah,AE,25.36,55.39,1559612104,0,49,89.6,5.82
507,Eureka,US,40.8,-124.16,1559612092,1,76,61.0,10.29
508,Sawtell,AU,-30.38,153.1,1559611619,0,41,60.01,11.41
509,Smithers,CA,54.78,-127.17,1559612105,90,47,57.2,5.82
510,Coolum Beach,AU,-26.53,153.09,1559612105,0,52,59.0,5.99
511,Barra Velha,BR,-26.63,-48.68,1559612105,75,82,64.99,8.05
512,Wenchi,GH,7.74,-2.1,1559612106,62,95,72.41,7.05
513,Karoi,ZW,-16.82,29.68,1559612106,0,86,51.71,7.38
514,Aloleng,PH,16.13,119.78,1559612106,31,69,88.43,7.2
515,Evensk,RU,61.92,159.24,1559612106,66,61,55.31,5.61
516,Porto Novo,BR,-23.68,-45.44,1559612106,75,93,60.8,2.24
517,Seymchan,RU,62.93,152.39,1559611582,51,52,56.96,11.1
518,Souillac,FR,45.6,-0.6,1559612106,0,77,64.99,2.24
519,Pastavy,BY,55.11,26.84,1559612107,0,91,53.33,5.64
520,Bihariganj,IN,25.73,86.98,1559612107,56,46,90.05,14.34
521,Brae,GB,60.4,-1.35,1559612107,99,81,48.2,26.4
522,Balakhta,RU,55.38,91.62,1559612107,0,46,59.63,9.08
523,Enshi,CN,30.29,109.48,1559612107,98,45,81.05,5.17
524,Altoona,US,40.52,-78.39,1559611952,1,47,57.2,6.93
525,Holsted,DK,55.51,8.92,1559612108,57,100,48.0,1.12
526,Tucumcari,US,35.17,-103.73,1559612108,1,28,80.6,3.36
527,Esik,KZ,43.36,77.47,1559612108,75,68,68.0,4.47
528,Miri,NG,10.31,9.75,1559612108,13,62,79.97,6.06
529,Kokuy,RU,52.2,117.55,1559612108,91,54,69.89,10.74
530,Canarana,BR,-11.69,-41.77,1559612109,0,80,65.93,5.32
531,Kachug,RU,53.96,105.89,1559612109,53,45,54.95,7.54
532,Kushima,JP,31.5,131.29,1559612109,75,94,73.4,4.7
533,Biryusinsk,RU,55.96,97.82,1559612109,0,38,61.43,4.29
534,Nakamura,JP,35.17,136.87,1559612109,75,69,81.0,3.36
535,Mahajanga,MG,-15.72,46.32,1559612110,20,94,71.6,2.24
536,Chabahar,IR,25.29,60.65,1559612110,20,94,80.6,2.06
537,Teya,MX,21.05,-89.07,1559612110,75,70,86.0,4.7
538,Arman,RU,59.7,150.17,1559612110,91,54,57.83,6.89
539,Nehe,CN,48.48,124.88,1559612110,4,30,76.91,7.18
540,Pisco,PE,-13.71,-76.2,1559612110,90,77,66.2,5.82
541,Hambantota,LK,6.12,81.12,1559612110,75,94,80.6,5.82
542,La Paz,MX,24.15,-110.32,1559612111,5,36,78.8,13.87
543,Porto-Vecchio,FR,41.59,9.28,1559612111,0,93,62.6,2.24
544,Koson,UZ,39.04,65.59,1559612112,20,72,66.2,6.93
545,Okha,RU,53.59,142.95,1559612112,88,92,37.31,13.04
546,Kampene,CD,-3.59,26.67,1559612112,94,68,61.97,2.98
547,Nata,CY,34.78,32.57,1559612112,87,72,75.2,4.7
548,Havelock,US,34.88,-76.9,1559611909,20,57,75.2,6.93
549,Umea,SE,63.83,20.26,1559612112,100,93,46.4,8.05
550,Kamaishi,JP,39.28,141.86,1559612113,20,60,75.2,5.82
551,Ciuruleasa,RO,46.26,23.03,1559612113,95,97,52.07,2.93
552,Praia,BR,-20.25,-43.81,1559612113,0,88,64.4,0.72
553,Tucuman,PE,-17.17,-70.89,1559612113,0,18,57.65,3.47
554,Cibitoke,BI,-2.89,29.12,1559612113,28,83,59.09,1.95
555,Makakilo City,US,21.35,-158.09,1559612113,75,69,86.0,8.05
556,Muli,IN,22.62,71.45,1559612114,0,56,87.35,16.75
557,Mosquera,CO,4.71,-74.23,1559612114,40,76,55.4,2.24
558,Broome,GB,52.47,1.45,1559612114,100,76,55.0,5.82
559,Ucluelet,CA,48.94,-125.55,1559612038,20,62,64.0,16.11
560,Esmeraldas,BR,-19.76,-44.31,1559612114,40,93,64.4,5.82
561,Ballina,IE,54.11,-9.15,1559612114,81,92,52.0,2.95
562,Port Alberni,CA,49.24,-124.81,1559612006,75,32,68.0,5.82
563,Tarakan,ID,3.3,117.63,1559611460,75,94,78.8,5.82
564,Sedniv,UA,51.64,31.56,1559612115,0,95,58.37,7.49
565,Gravdal,NO,59.79,5.78,1559612115,89,81,53.01,17.22
566,Conakry,GN,9.52,-13.7,1559612115,40,83,80.6,8.34
567,Kargasok,RU,59.06,80.87,1559612115,11,63,60.35,3.49
568,Lakatoro,VU,-16.11,167.42,1559612115,20,70,82.49,11.36
569,Nepomuk,CZ,49.49,13.58,1559612115,0,82,62.01,1.12
570,Buchanan,LR,5.88,-10.05,1559612116,100,77,82.13,12.44
571,Ashland,US,38.48,-82.64,1559611823,1,77,69.01,1.83
572,Sobolevo,RU,54.43,31.9,1559612116,0,89,52.25,6.76
573,Nepa Nagar,IN,21.47,76.4,1559612116,0,48,89.33,12.88
574,Opuwo,NA,-18.06,13.84,1559612116,0,24,58.19,4.7
